"","Day","temp_type","temp"
"1",1,"Mean",81
"2",1,"Min",72
"3",1,"Max",89
"4",2,"Mean",82
"5",2,"Min",72
"6",2,"Max",91
"7",3,"Mean",78
"8",3,"Min",69
"9",3,"Max",87
"10",4,"Mean",70
"11",4,"Min",65
"12",4,"Max",74
"13",5,"Mean",72
"14",5,"Min",63
"15",5,"Max",81
"16",6,"Mean",75
"17",6,"Min",66
"18",6,"Max",84
"19",7,"Mean",81
"20",7,"Min",72
"21",7,"Max",90
"22",8,"Mean",81
"23",8,"Min",71
"24",8,"Max",91
"25",9,"Mean",80
"26",9,"Min",71
"27",9,"Max",88
"28",10,"Mean",78
"29",10,"Min",72
"30",10,"Max",83
"31",11,"Mean",79
"32",11,"Min",71
"33",11,"Max",86
"34",12,"Mean",78
"35",12,"Min",71
"36",12,"Max",85
"37",13,"Mean",78
"38",13,"Min",72
"39",13,"Max",83
"40",14,"Mean",78
"41",14,"Min",72
"42",14,"Max",84
"43",15,"Mean",79
"44",15,"Min",72
"45",15,"Max",86
"46",16,"Mean",75
"47",16,"Min",68
"48",16,"Max",81
"49",17,"Mean",74
"50",17,"Min",67
"51",17,"Max",81
"52",18,"Mean",73
"53",18,"Min",64
"54",18,"Max",81
"55",19,"Mean",72
"56",19,"Min",68
"57",19,"Max",76
"58",20,"Mean",72
"59",20,"Min",66
"60",20,"Max",78
"61",21,"Mean",76
"62",21,"Min",67
"63",21,"Max",85
"64",22,"Mean",79
"65",22,"Min",71
"66",22,"Max",86
"67",23,"Mean",80
"68",23,"Min",72
"69",23,"Max",88
"70",24,"Mean",75
"71",24,"Min",70
"72",24,"Max",80
"73",25,"Mean",74
"74",25,"Min",66
"75",25,"Max",82
"76",26,"Mean",75
"77",26,"Min",69
"78",26,"Max",81
"79",27,"Mean",78
"80",27,"Min",71
"81",27,"Max",85
"82",28,"Mean",75
"83",28,"Min",68
"84",28,"Max",82
"85",29,"Mean",70
"86",29,"Min",64
"87",29,"Max",76
"88",30,"Mean",72
"89",30,"Min",63
"90",30,"Max",80
"91",31,"Mean",75
"92",31,"Min",68
"93",31,"Max",82
"94",32,"Mean",78
"95",32,"Min",71
"96",32,"Max",84
"97",33,"Mean",69
"98",33,"Min",63
"99",33,"Max",74
"100",34,"Mean",71
"101",34,"Min",66
"102",34,"Max",76
"103",35,"Mean",77
"104",35,"Min",70
"105",35,"Max",84
"106",36,"Mean",81
"107",36,"Min",71
"108",36,"Max",90
"109",37,"Mean",77
"110",37,"Min",70
"111",37,"Max",83
"112",38,"Mean",75
"113",38,"Min",66
"114",38,"Max",83
"115",39,"Mean",74
"116",39,"Min",65
"117",39,"Max",83
"118",40,"Mean",77
"119",40,"Min",66
"120",40,"Max",87
"121",41,"Mean",78
"122",41,"Min",68
"123",41,"Max",88
"124",42,"Mean",79
"125",42,"Min",71
"126",42,"Max",87
"127",43,"Mean",75
"128",43,"Min",70
"129",43,"Max",79
"130",44,"Mean",75
"131",44,"Min",68
"132",44,"Max",82
"133",45,"Mean",70
"134",45,"Min",63
"135",45,"Max",77
"136",46,"Mean",67
"137",46,"Min",61
"138",46,"Max",73
"139",47,"Mean",71
"140",47,"Min",63
"141",47,"Max",78
"142",48,"Mean",74
"143",48,"Min",66
"144",48,"Max",82
"145",49,"Mean",72
"146",49,"Min",63
"147",49,"Max",81
"148",50,"Mean",73
"149",50,"Min",63
"150",50,"Max",83
"151",51,"Mean",77
"152",51,"Min",70
"153",51,"Max",84
"154",52,"Mean",74
"155",52,"Min",65
"156",52,"Max",83
"157",53,"Mean",72
"158",53,"Min",65
"159",53,"Max",79
"160",54,"Mean",72
"161",54,"Min",67
"162",54,"Max",77
"163",55,"Mean",72
"164",55,"Min",64
"165",55,"Max",80
"166",56,"Mean",76
"167",56,"Min",64
"168",56,"Max",88
"169",57,"Mean",80
"170",57,"Min",70
"171",57,"Max",89
"172",58,"Mean",80
"173",58,"Min",70
"174",58,"Max",90
"175",59,"Mean",74
"176",59,"Min",66
"177",59,"Max",82
"178",60,"Mean",71
"179",60,"Min",61
"180",60,"Max",80
"181",61,"Mean",73
"182",61,"Min",65
"183",61,"Max",80
"184",62,"Mean",82
"185",62,"Min",73
"186",62,"Max",90
"187",63,"Mean",82
"188",63,"Min",75
"189",63,"Max",88
"190",64,"Mean",85
"191",64,"Min",77
"192",64,"Max",92
"193",65,"Mean",79
"194",65,"Min",72
"195",65,"Max",86
"196",66,"Mean",78
"197",66,"Min",69
"198",66,"Max",87
"199",67,"Mean",80
"200",67,"Min",72
"201",67,"Max",87
"202",68,"Mean",79
"203",68,"Min",67
